BetaShares Portfolio Holdings,,,,,,,,,,
,,,,,,,,,,
Fund Name,BetaShares Asia Technology Tigers ETF,,,,,,,,,
Fund ASX Code,ASIA,,,,,,,,,
Date,12/4/2020,,,,,,,,,
,,,,,,,,,,
Ticker,SEDOL,Name,Asset Class,Sector,Country,Currency,Weight (%),Shares/Units (#),Market Value (AUD),Notional Value (AUD)
005930 KP,6771720,SAMSUNG ELECTRONICS CO LTD,Equities,Information Technology,South Korea,KRW,0.111705,599365,53237198.01,53237198.01
TSM UN,2113382,TAIWAN SEMICONDUCTOR MANUFACTU,Equities,Information Technology,Taiwan,USD,0.104501,356642,49804085.43,49804085.43
700 HK,BMMV2K8,TENCENT HOLDINGS LTD,Equities,Communication Services,China,HKD,0.096329,449100,45909317.51,45909317.51
3690 HK,BGJW376,MEITUAN DIANPING,Equities,Consumer Discretionary,China,HKD,0.090198,857500,42987458.53,42987458.53
BABA UN,BP41ZD1,ALIBABA GROUP HOLDING LTD,Equities,Consumer Discretionary,China,USD,0.078928,104551,37616121.1,37616121.1
JD UW,BMM27D9,JD.COM INC,Equities,Consumer Discretionary,China,USD,0.055124,229068,26271274.8,26271274.8
PDD UW,BYVW0F7,PINDUODUO INC,Equities,Consumer Discretionary,China,USD,0.050943,123219,24278854.12,24278854.12
INFY UN,2398822,INFOSYS LTD,Equities,Information Technology,India,USD,0.034871,783786,16619048.87,16619048.87
SE UN,BYWD7L4,SEA LTD,Equities,Communication Services,Taiwan,USD,0.033136,59013,15792412.68,15792412.68
000660 KP,6450267,SK HYNIX INC,Equities,Information Technology,South Korea,KRW,0.031579,105347,15050044.43,15050044.43
NTES UW,2606440,NETEASE INC,Equities,Communication Services,China,USD,0.030932,125318,14741904.74,14741904.74
BEKE UN,BMBX7M2,KE HOLDINGS INC,Equities,Real Estate,China,USD,0.026415,150777,12589108.16,12589108.16
035420 KP,6560393,NAVER CORP,Equities,Communication Services,South Korea,KRW,0.023116,30164,11016763.63,11016763.63
1810 HK,BG0ZMJ9,XIAOMI CORP,Equities,Information Technology,China,HKD,0.02109,2282600,10051227.22,10051227.22
BIDU UW,B0FXT17,BAIDU INC,Equities,Communication Services,China,USD,0.020363,50037,9704941.559,9704941.559
2454 TT,6372480,MEDIATEK INC,Equities,Information Technology,Taiwan,TWD,0.018914,268000,9014442.001,9014442.001
2317 TT,6438564,HON HAI PRECISION INDUSTRY CO,Equities,Information Technology,Taiwan,TWD,0.018508,2230200,8820907.742,8820907.742
WIT UN,2646123,WIPRO LTD,Equities,Information Technology,India,USD,0.015802,1051542,7531237.803,7531237.803
035720 KP,6194037,KAKAO CORP,Equities,Communication Services,South Korea,KRW,0.011056,10890,5269302.253,5269302.253
2303 TT,6916628,UNITED MICROELECTRONICS CORP,Equities,Information Technology,Taiwan,TWD,0.010031,2105000,4780507.355,4780507.355
VIPS UN,B3N0H17,VIPSHOP HOLDINGS LTD,Equities,Consumer Discretionary,China,USD,0.00716,100504,3412373.29,3412373.29
BILI UW,BFNLRN6,BILIBILI INC,Equities,Communication Services,China,USD,0.007036,36741,3353086.147,3353086.147
981 HK,BDFBM13,SEMICONDUCTOR MANUFACTURING IN,Equities,Information Technology,China,HKD,0.006801,888500,3241067.241,3241067.241
GDS UQ,BD6FLL7,GDS HOLDINGS LTD,Equities,Information Technology,China,USD,0.006675,25972,3181465.105,3181465.105
ATHM UN,BH5QGR0,AUTOHOME INC,Equities,Communication Services,China,USD,0.005956,21912,2838707.27,2838707.27
241 HK,BRXVS60,ALIBABA HEALTH INFORMATION TEC,Equities,Healthcare,China,HKD,0.005934,722000,2828101.93,2828101.93
TME UN,BFZYWR2,TENCENT MUSIC ENTERTAINMENT GR,Equities,Communication Services,China,USD,0.005268,111477,2510783.805,2510783.805
DADA UW,BMH5F39,DADA NEXUS LTD,Equities,Consumer Discretionary,China,USD,0.004996,40507,2380904.173,2380904.173
034730 KP,B39Z8L3,SK HOLDINGS CO LTD,Equities,Industrials,South Korea,KRW,0.004866,7794,2318908.905,2318908.905
3711 TT,BFXZDY1,ASE TECHNOLOGY HOLDING CO LTD,Equities,Information Technology,Taiwan,TWD,0.004622,580000,2202703.283,2202703.283
KC UW,BM8R675,KINGSOFT CLOUD HOLDINGS LTD,Equities,Information Technology,China,USD,0.004343,37996,2069625.956,2069625.956
268 HK,6327587,KINGDEE INTERNATIONAL SOFTWARE,Equities,Information Technology,China,HKD,0.004212,466000,2007469.298,2007469.298
GSX UN,BK1VBN1,GSX TECHEDU INC,Equities,Consumer Discretionary,China,USD,0.004062,23680,1936034.464,1936034.464
IQ UW,BYWT1W1,IQIYI INC,Equities,Communication Services,China,USD,0.003838,59001,1829285.178,1829285.178
968 HK,BGQYNN1,XINYI SOLAR HOLDINGS LTD,Equities,Information Technology,China,HKD,0.003661,768000,1744939.117,1744939.117
3034 TT,6346333,NOVATEK MICROELECTRONICS CORP,Equities,Information Technology,Taiwan,TWD,0.003437,109000,1638143.676,1638143.676
6415 TT,BH4DMW9,SILERGY CORP,Equities,Information Technology,China,TWD,0.003315,14000,1579698.183,1579698.183
2379 TT,6051422,REALTEK SEMICONDUCTOR CORP,Equities,Information Technology,Taiwan,TWD,0.003246,85000,1547135.694,1547135.694
YY UW,BL3N3C5,JOYY INC,Equities,Communication Services,China,USD,0.002813,11702,1340814.782,1340814.782
018260 KP,BRS2KY0,SAMSUNG SDS CO LTD,Equities,Information Technology,South Korea,KRW,0.00278,6111,1324724.243,1324724.243
6488 TT,BS7JP33,GLOBALWAFERS CO LTD,Equities,Information Technology,Taiwan,TWD,0.00253,38000,1205647.027,1205647.027
WB UW,BLLJ4H7,WEIBO CORP,Equities,Communication Services,China,USD,0.002512,21215,1196985.258,1196985.258
3888 HK,B27WRM3,KINGSOFT CORP LTD,Equities,Information Technology,China,HKD,0.002479,169000,1181582.101,1181582.101
2345 TT,6005214,ACCTON TECHNOLOGY CORP,Equities,Information Technology,Taiwan,TWD,0.002227,89000,1061560.996,1061560.996
3105 TT,B56LHP5,WIN SEMICONDUCTORS CORP,Equities,Information Technology,Taiwan,TWD,0.002087,60000,994766.1465,994766.1465
522 HK,6002453,ASM PACIFIC TECHNOLOGY LTD,Equities,Information Technology,Hong Kong,HKD,0.00203,55900,967610.1721,967610.1721
2301 TT,6519481,LITE-ON TECHNOLOGY CORP,Equities,Information Technology,Taiwan,TWD,0.00182,368000,867340.6585,867340.6585
5347 TT,6109677,VANGUARD INTERNATIONAL SEMICON,Equities,Information Technology,Taiwan,TWD,0.0018,165000,858075.2587,858075.2587
2377 TT,6133450,MICRO-STAR INTERNATIONAL CO LT,Equities,Information Technology,Taiwan,TWD,0.001621,128000,772530.1412,772530.1412
251270 KP,BF2S426,NETMARBLE CORP,Equities,Communication Services,South Korea,KRW,0.001421,4130,677238.6759,677238.6759
AUD,,AUD - AUSTRALIA DOLLAR,Cash,,,AUD,0.000559,266409.01,266409.01,266409.01
USD,,USD - UNITED STATES DOLLAR,Cash,,,USD,0.000296,104937.62,141273.0479,141273.0479
HKD,,HKD - HONG KONG DOLLAR,Cash,,,HKD,3.30E-05,91424.48,15880.85254,15880.85254
KRW,,KRW - KOREAN WON,Cash,,,KRW,2.10E-05,8157688.72,10134.09331,10134.09331
TWD,,TWD - TAIWANESE DOLLAR,Cash,,,TWD,2E-06,0.78,0.037214273,0.037214273
,,,,,,,,,,
"Total weights may not add up to 100% due to rounding or immateriality. Holdings, weights and values are subject to change.",,,,,,,,,,
"BetaShares makes no representation or warranty of any kind, either express or implied, with respect to the holdings data,",,,,,,,,,,
"its timeliness, the information's use or any other matter.",,,,,,,,,,
